Generation	Fitness
0	163.63	169.305	140.608	168.952	146.619	156.161	173.788	197.331	164.103	178.11	159.631	144.434	
1	197.331	163.63	181.64	180.719	168.952	153.736	163.904	164.103	162.908	155.365	171.698	197.331	
2	163.904	197.331	162.284	171.698	181.64	153.659	206.34	175.461	191.656	195.885	184.551	197.331	
3	175.461	197.331	196.016	177.659	195.885	185.805	176.345	198.791	157.229	207.563	172.762	206.34	
4	152.086	196.766	185.176	178.315	185.805	178.41	161.166	210.109	203.995	167.555	193.935	207.563	
5	207.563	184.181	179.757	203.995	204.223	169.378	191.765	163.495	184.177	176.267	171.089	210.109	
6	184.177	184.181	181.11	171.089	216.958	172.47	210.109	191.871	191.268	209.27	166.409	210.109	
7	210.109	184.177	206.895	198.835	174.822	181.981	166.409	207.349	175.097	198.771	169.271	216.958	
8	216.958	174.99	219.504	176.158	180.49	183.593	169.271	171.394	161.137	176.114	174.959	216.958	
9	162.436	180.824	186.683	216.958	219.504	201.374	183.593	180.49	157.044	152.062	221.951	219.504	
10	222.839	175.71	190.367	180.671	180.127	186.959	180.49	183.593	176.613	190.294	181.42	221.951	
11	180.127	206.403	197.46	158.764	218.472	190.367	221.951	192.838	169.524	189.906	226.26	222.839	
12	158.764	218.472	171.573	189.906	221.951	222.435	225.963	212.974	228.159	169.2	151.044	226.26	
13	225.963	221.951	191.428	156.928	228.159	190.874	190.905	200.433	151.982	173.677	192.535	228.159	
14	228.159	228.159	186.743	200.433	184.918	181.5	194.731	151.649	192.535	160.411	148.63	228.159	
15	220.372	158.639	184.689	174.14	180.355	194.731	190.874	224.781	222.297	151.728	198.212	228.159	
16	212.112	214.708	220.372	224.781	224.781	228.503	177.753	194.7	199.697	158.482	159.342	228.159	
17	156.172	189.329	222.804	178.591	197.187	186.819	224.195	194.248	231.827	195.433	194.958	228.503	
18	195.433	222.297	204.376	127.071	176.765	168.014	221.413	183.598	231.827	166.805	184.656	231.827	
19	184.656	204.376	211.429	187.211	229.601	221.856	219.407	166.805	218.24	156.937	180.107	231.827	
20	221.856	216.849	190.916	219.407	202.505	228.159	176.082	184.818	168.089	179.824	177.261	231.827	
21	176.082	202.505	176.082	169.065	184.818	164.65	193.612	228.159	206.414	175.708	168.389	231.827	
22	178.904	176.082	181.531	181.971	190.795	192.426	162.276	190.381	228.307	163.969	173.956	231.827	
23	173.956	181.531	175.593	157.488	169.161	168.094	190.381	231.827	162.276	157.216	138.385	231.827	
24	168.094	185.885	165.011	229.601	157.488	179.689	231.827	228.159	217.947	177.052	158.675	231.827	
25	228.159	169.915	228.159	231.827	229.601	199.602	231.827	217.947	190.381	164.003	161.015	231.827	
26	217.947	228.159	228.307	231.827	231.827	231.827	160.793	157.216	205.495	196.244	175.968	231.827	
27	231.827	229.601	231.827	185.321	231.827	231.827	192.713	156.261	191.528	148.953	156.48	231.827	
28	231.827	231.827	231.827	189.888	229.894	219.556	148.953	153.501	231.827	179.417	202.15	231.827	
29	217.947	231.827	195.51	231.827	162.569	190.674	179.417	183.805	162.498	177.535	149.14	231.827	
30	177.535	120.123	220.924	168.065	159.787	176.853	229.894	165.946	187	189.03	178.424	231.827	
31	229.894	213.834	220.924	178.424	187	140.431	168.601	231.827	180.698	190.306	222.435	231.827	
32	220.924	197.826	220.924	222.435	231.827	169.691	204.962	163.645	199.057	225.93	158.692	231.827	
33	151.554	216.909	173.502	178.855	222.435	185.251	190.674	231.827	185.24	151.531	169.882	231.827	
34	185.24	140.9	161.824	231.827	231.827	231.827	185.251	190.674	182.131	140.854	189.11	231.827	
35	231.827	231.827	231.827	189.11	208.421	217.289	177.753	163.737	199.759	189.363	179.757	231.827	
36	189.363	231.827	190.098	189.787	231.827	233.51	214.99	223.076	157.213	156.047	152.819	231.827	
37	231.827	231.827	184.818	214.99	233.51	170.436	231.827	231.827	231.827	166.873	201.61	233.51	
38	233.51	231.827	221.856	166.873	211.482	177.38	231.827	231.827	231.827	173.205	157.912	233.51	
39	229.929	231.827	221.856	231.827	194.192	228.943	233.51	151.338	168.42	199.888	178.509	233.51	
40	221.856	229.929	231.827	194.105	228.943	233.51	168.42	204.454	172.666	196.507	148.264	233.51	
41	233.51	226.82	193.864	204.454	163.696	224.758	172.666	196.507	182.729	142.676	183.826	233.51	
42	182.729	233.51	228.503	226.82	226.82	233.51	189.3	217.947	188.652	164.681	186.335	233.51	
43	226.82	226.82	226.82	221.413	221.413	217.947	183.155	161.505	198.422	162.639	138.906	233.51	
44	233.51	193.864	226.82	165.742	221.413	183.155	161.505	219.123	168.703	183.151	178.934	233.51	
45	221.413	233.51	193.847	146.774	218.854	233.675	233.51	201.381	192.713	145.506	180.213	233.51	
46	218.854	191.966	233.51	233.51	233.51	233.51	180.213	201.381	198.835	145.454	164.964	233.675	
47	233.51	233.51	233.51	177.883	202.45	193.577	164.964	183.962	179.664	206.115	186.245	233.675	
48	197.192	227.996	193.577	202.45	233.51	233.51	233.675	174.128	199.545	177.261	180.679	233.675	
49	180.679	233.51	195.834	233.675	233.675	233.675	177.261	151.866	158.153	201.545	175.012	233.675	
50	219.889	227.65	203.896	219.889	178.009	213.269	233.675	233.675	233.675	179.686	145.712	233.675	
51	227.047	227.65	233.675	206.362	219.889	233.675	233.675	233.675	233.675	174.954	139.152	233.675	
52	233.675	233.675	233.675	191.802	221.551	179.665	233.675	233.675	233.675	155.781	177.104	233.675	
53	233.675	233.675	233.675	233.675	233.675	233.675	236.343	179.614	158.842	164.026	158.554	233.675	
54	236.343	233.675	236.343	174.345	179.614	164.026	233.675	233.675	233.675	168.054	183.826	236.343	
55	180.585	236.343	201.143	233.675	233.675	233.675	236.343	196.434	153.355	194.758	166.161	236.343	
56	233.675	233.675	233.675	194.758	236.343	208.238	223.936	236.343	208.296	152.847	171.239	236.343	
57	196.434	233.675	223.936	150.17	227.158	219.504	236.343	208.238	236.343	137.05	177.841	236.343	
58	217.375	196.434	224.539	236.343	233.675	217.375	172.103	172.049	177.89	192.482	192.172	236.343	
59	217.375	217.375	217.375	236.343	236.343	236.343	192.172	189.667	179.085	167.302	174.331	236.343	
60	188.297	178.348	217.375	170.101	173.661	159.433	196.192	236.343	217.375	155.46	188.641	236.343	
